name,caption,sentiment,emotion,desire
The healthier I am the happier I feel,Shot of a fit young woman working out at the beach,positive,happiness,none
"Germany, Bavaria, Munich, Man holding mobile phone, screaming, portrait","Germany, Bavaria, Munich, Man holding mobile phone, screaming, portrait",negative,anger,none
Five people with hands over their ears grimace at noise,Five people with hands over their ears grimace at noise,negative,disgust,none
Casual man sitting in modern home with woman standing in garden,Casual man sitting in modern home with woman standing in garden,neutral,neutral,none
"Mom hugs, nothing quite like them",Shot of an adorable little girl and her mother in a warm embrace at home,positive,happiness,family
Women exercising in park,"Multi-ethnic women exercising in park, power walking. Hispanic woman in middle .",neutral,neutral,none
Male couple running next to son on bicycle in park,Male couple running next to son on bicycle in park,neutral,neutral,family
Boys playing with cardboard box,Boys playing with cardboard box,positive,happiness,social-contact
Businesswoman Scared Of Shadow On Wall,"Photo Taken In Sofia, Bulgaria",negative,fear,tranquility
Woman relaxing on sofa with her cat,Beautiful young woman relaxing on sofa with her cat in living room.,neutral,neutral,none
Portrait of young woman with smartphone freaking out,Portrait of young woman with smartphone freaking out,positive,happiness,none
"With her, good health is in sight",Shot of a mature doctor looking thoughtful in a consulting room,positive,happiness,none
"Caucasian girl exercising yoga in nature, morning by the lake in Switzerland","One young woman exercising yoga on a lake pier in the morning, fog on water surface. People wellbeing relaxation healthy lifestyle concept.",neutral,neutral,none
Multilingual learners,Toddlers busy with educational book,positive,happiness,curiosity
"Two young women fighting in living room, low angle view","Two young women fighting in living room, low angle view",negative,anger,vengeance
"Digital Detox in Garmisch-Partenkirchen, Germany","Young woman enjoying nature in the mountains of Gran Canaria, Spain",neutral,neutral,none
Texting in the city,Modern young woman walking on the city street texting and holding cup of coffee,positive,happiness,none
Happiness,Cheerful young man in cafeteria.,positive,happiness,none
Smiling group of people walking together outdoors and looking at fitness tracker,Smiling group of people walking together outdoors and looking at fitness tracker,neutral,neutral,none
Young businessman working on laptop,Young businessman working on laptop,neutral,neutral,none
Kid disliking food,Kid disliking food,negative,disgust,none
Girl reading book with a coffe mug,Girl reading book with a coffe mug,neutral,neutral,none
Hawaiian woman doing yoga pose inside in morning.,Hawaiian woman doing yoga pose inside in morning.,neutral,neutral,none
Successful mid adult woman screaming,Successful woman clenching fists. Beautiful strong female is screaming against pink background. She is wearing white t-shirt.,positive,happiness,none
Mother and son,Portrait of happy mother and her adult son,positive,happiness,social-contact
Mother reading to daughter with down syndrome,Mother reading to daughter with down syndrome. Main focus on girl.,neutral,neutral,family
Hispanic boy covering mouth next to broccoli,Hispanic boy covering mouth next to broccoli,negative,disgust,none
Mature woman walking labrador retriever in sunlit wildflower meadow,Mature woman walking labrador retriever in sunlit wildflower meadow,neutral,neutral,none
Chinese Schoolwork,Chinese woman and a girl work on schoolwork.,neutral,neutral,family
Malaysian Woman Fear of Being Vaccinated,Close-up shot of an unrecognizable doctor holding a syringe and covid-19 vaccine in front of a Malaysian woman who fears being vaccinated because of her needle phobia.,negative,fear,none
Portrait of young black female,Portrait of young black female,positive,happiness,none
Grandparents talking to children in yard,Grandparents talking to children. Family having leisure time in yard. They are wearing casuals.,positive,happiness,family
We make a great team,Studio shot of a diverse group of creative employees embracing each other against a grey background,positive,happiness,social-contact
That moment when he proposes on a mountain top and she's overwhelmed,That moment when he proposes on a mountain top and she's overwhelmed,positive,happiness,romance
Angry African American woman arguing with her husband at dining table.,Young black couple arguing while having problems in their relationship at dining table.,negative,anger,none
Mother helping daughter with homework,Mother helping daughter with homework,neutral,neutral,family
Man in quarantine looking through the window,Manan in quarantine wearing a mask and looking through the window. Pandemic of Coronavirus / Covid-19.,negative,fear,curiosity
Woman hiding her face,Girl hiding her face with her long her from the couple on the next bench,negative,sad,romance
"Those who work hard, win",Shot of colleagues celebrating during a meeting in a modern office,positive,happiness,social-contact
Little girl hugging her father at home,Family lifestyle. Front view of happy daughter embracing her father. They are in the living room at home. Close up of girl’s face.,neutral,neutral,family
Angry businessman talking on his mobile phone in office.,Angry businessman talking on cell phone while reading reports in the office. Shot of a young businessman sitting on desk in modern office and holding financial report. Portrait of worried businessman working on laptop and using smart phone in the office.,negative,anger,none
She's on the move,Shot of an adorable baby crawling on the living room floor,positive,happiness,curiosity
Time to clock another personal best,Shot of a sporty young man checking his watch while exercising outdoors,positive,happiness,none
People cheering in modern office,Team of creative people cheering and celebrating in modern office,positive,happiness,social-contact
Happy father with adult daughter on the beach,Happy father with adult daughter on the beach,positive,happiness,romance
Mother holding his son in forest in sunset.,Young beautiful mother holding a baby in her arms. Mother hugging and kissing her son in forest. Thailand.,positive,happiness,family
Mother finishing food and son eating snacks,Parent and child cooking class.,neutral,neutral,family
Portrait Of Woman Making A Face Against Gray Background,Portrait Of Woman Making A Face Against Gray Background,negative,disgust,none
Happy couple,Close up of a happy young couple using a phone,positive,happiness,romance
"Terrified looking man looks, wide-eyed, through venetian blind","Terrified looking man looks, wide-eyed, through venetian blind",negative,fear,curiosity
M glad we could finally meet,Shot of two businessmen shaking hands in an office,positive,happiness,social-contact
Young woman relaxing at home and listening music,Photo of young woman with headphones laying on the couch and smiling,positive,happiness,none
Adorable kindergarten students listen during story time,Cute kindergarten schoolgirls smile as they listen to teacher or librarian read a story during story time.,positive,happiness,curiosity
"Girl sitting with cauliflower, holding her nose.","Girl sitting with cauliflower, holding her nose.",negative,disgust,none
Where are we going?,Couple walking with their dog,neutral,neutral,none
Overjoyed Businessman Jumping - Isolated,Portrait of an excited young businessman jumping in air. Vertical shot. Isolated on white.,positive,happiness,none
Laughing woman holding phablet by the window,Laughing woman holding phablet by the window,positive,happiness,none
Sad couple lying in bed,"High angle view on a young couple is in bed, they are having problems in their relationship",negative,sad,romance
A caucasian preteen girl with long brown hair is scowling as she tips her chin down and yells angrily,A caucasian preteen girl with long brown hair is scowling as she tips her chin down and yells angrily,negative,anger,none
Disabled Latino teenager with Celebral Palsy and mother laughing.,"Cerebral palsy are lifelong conditions that affect movement and co-ordination, caused by a problem with the brain that occurs before, during or after birth.",positive,happiness,family
Portrait of a businesswoman holding her nose,Portrait of a businesswoman holding her nose,negative,disgust,none
Active 97 year-old man.,Senior man peeks through the blinds and out a window.,negative,fear,curiosity
Businesswoman yelling at businessman,Businesswoman yelling at businessman,negative,anger,vengeance
Beautiful woman looking back over her shoulder,Beautiful woman looking back over her shoulder on the street,positive,happiness,none
Young Black Woman Walking with Coffee,Young black woman walking with a cup of coffee,neutral,neutral,none
Friends Watching Football in Living Room,Friends excited about a moment during a football game.,positive,happiness,social-contact
Mother assisting daughter in writing homework while sitting at home,Mother assisting daughter in writing homework while sitting at home,neutral,neutral,family
"Young couple watching tv, man eating popcorn","Young couple watching tv, man eating popcorn",negative,fear,curiosity
African American woman typing on laptop,African American woman typing on laptop,neutral,neutral,none
Two happy women talking through the window,Two happy women talking through the window,positive,happiness,social-contact
Girl walking a big brown dog on a leash,Girl in red boots being walked by chocolate labrador dog.,neutral,neutral,none
Cute sisters laying on the library floor reading books together,Sweet African American sisters laying on the floor next to each other in the library playroom reading a book together. Preschool age little girl listens to her elementary age sister read a book while they lay on the floor in a library playroom.,positive,happiness,curiosity
Portrait of boy,Boy making face,negative,disgust,none
Students building windmill during elementary science class,"African American and Hispanic elementary age little girls are building a windmill from a water bottle during an after school science program in a public elementary school library. Students are learning science, technology, engineering, and math while working on science project together.",positive,happiness,curiosity
Shocked young man watching horror movie in cinema hall at theater,Shocked young man watching horror movie,negative,fear,curiosity
He's definitely ticklish,"Young Mother tickling her little baby boy on floor, baby laughing",positive,happiness,family
Woman laughing during comedy movie,Young woman laughing while enjoying comedy movie in theater,positive,happiness,none
Girl's Emotion,Girl's Emotion,negative,fear,curiosity
Rooftop Enjoy,"Young woman sitting on the car roof with enjoy the nature of mist in the mountain at sunrise morning,",positive,happiness,none
Frightened woman behind window,Frightened woman behind window,negative,fear,none
"An unspecified woman recoils in fear as she is embraced from behind by a skeleton in a dramatically lit image, location unspecified, circa 1955...","An unspecified woman recoils in fear as she is embraced from behind by a skeleton in a dramatically lit image, location unspecified, circa 1955.",negative,fear,tranquility
Happy Middle Aged Active Fit Healthy Beach Couple Hiking Outdoors,"Happy and healthy middle aged active and fit couple hiking outdoors by the seaside at Bondi Beach in Sydney, Australia at sunset",neutral,neutral,none
Reading Time,Multi-ethnic group of young children are indoors at a preschool. They are wearing casual clothing. Their male teacher is reading a story book to them. The students are listening and crowding around him.,positive,happiness,curiosity
Mature couple reading newspapers on a weekend afternoon.,Closeup front view of a mid 60's couple sitting on a couch and reading magazines. They are smiling at the camera.,positive,happiness,romance
Portrait of Serious Businessman in Mid 50s,Partial front view of bearded corporate professional in button down shirt and sport coat leaning on desk and looking at camera with annoyed expression.,negative,anger,none
Cheerful toddler boy enjoys pediatrician visit,An adorable toddler boy sits in his mother's lap in his unrecognizable pediatrician's office. He smiles and looks away. His pediatrician holds a clipboard.,positive,happiness,family
Young businessman working at office,Young cheerful businessman working at office,positive,happiness,none
Close-up of girl shouting,Close-up of girl shouting,negative,anger,none
Angry woman using a computer,Woman angry with keyboard the concept is view is the monitor,negative,anger,none
Freedom and adventure in nature,"Freedom and adventure in nature, Nanos, Slovenia",positive,happiness,none
Wo men with full beards fighting in abandoned landscape,Wo men with full beards fighting in abandoned landscape,negative,anger,vengeance
Pensive man embracing young woman looking out of window in kitchen,Pensive man embracing young woman looking out of window in kitchen,negative,sad,none
Pretty young mom using smartphone with her 2 lovely little daughters joyfully in a Japanese restaurant.,Pretty young mom using smartphone with her 2 lovely little daughters joyfully in a traditional Japanese restaurant.,positive,happiness,family
Two young women laughing while talking,Two young women laughing while talking,positive,happiness,social-contact
"Austria, Salzkammergut, Cheering couple reaching mountain summit","Austria, Salzkammergut, Cheering couple reaching mountain summit",positive,happiness,romance
"Cute mixed race preschool girl laughing on beach at sunset, Okinawa, Japan","Adorable Eurasian 5 year old girl laughing on beach at sunset, Kerama Islands National Park, Okinawa, Japan",positive,happiness,family
Problematic young couple,Girlfriend looking angry at boyfriend,negative,sad,romance
Thoughtful man against black background,Close-up of thoughtful young man. Male is looking away with hands clasped. He is in blue t-shirt against black background.,negative,sad,none
Young Woman Walking Dog,Young woman walking her don in a neighborhood with houses and trees in the background.,neutral,neutral,none
"Little daughter eating strawberry, mother looking at her",Young mother playing with her three children at home and at public park.,neutral,neutral,family
Woman feeling autumn,Woman feeling autumn,neutral,neutral,none
Businessman being chased by car,Businessman being chased by car,negative,fear,tranquility
Little Girl Visits Grandparents Through Window,"Mother stands with her daughter, visiting senior parents but observing social distancing with a glass door between them. The granddaughter puts her hand up to the glass, the grandfather and grandmother doing the same. A small connection in a time of separation during the Covid-19 pandemic.",neutral,neutral,family
Year old boy in front of washing machine,Year old boy in front of washing machine,positive,happiness,curiosity
Girl watching tv with her blanket,Girl watching tv with her blanket,negative,fear,curiosity
Photo of a frustrated man punching clean through his laptop,Business man getting mad and punching through the screen of his laptop due to computer problems.,negative,anger,vengeance
Child Abuse,Child Abuse,negative,fear,tranquility
Boy climbing along fallen tree in forest touching moss,Boy climbing along fallen tree in forest touching moss,positive,happiness,curiosity
Black woman biting sandwich,Black woman biting sandwich,positive,happiness,none
Bond between father and son,Father and son playing on the grass,positive,happiness,family
Imagination brings stories to life,Shot of an adorable little girl sitting on the floor and reading a glowing book,positive,happiness,curiosity
Worried woman,Young woman biting her nails for a concerned concept,negative,fear,none
Mother holding young daughter upside down while standing on front porch of vacation home,Mother holding young daughter upside down while standing on front porch of vacation home,positive,happiness,family
"Scared man watching horror movies in bed. Debica, Poland","Scared man watching horror movies in bed. Debica, Poland",negative,fear,curiosity
Frightened girl crouching in front of wooden wall,Frightened girl crouching in front of wooden wall,negative,fear,tranquility
Scared boy,Boy with scared look on his face,negative,fear,none
Small boy playing with the shower on the beach,Small boy playing with the shower on the beach,positive,happiness,none
Mother and daughter reading a book at home.,Beautiful young mother and her cute daughter sitting on window sill at home and reading a book.,positive,happiness,family
Portrait of laughing blond woman behind windowpane,Portrait of laughing blond woman behind windowpane,positive,happiness,none
Portrait of man,Portrait of man,positive,happiness,none
Old Lady Who Swallowed a Fly,Old Lady Who Swallowed a Fly,negative,disgust,none
"Portrait of a young woman eating watermelon on a sunny day, backlit","Portrait of a young woman eating watermelon on a sunny day, backlit",positive,happiness,none
Smiling mother and toddler daughter enjoying flowers growing in backyard garden,Smiling mother and toddler daughter enjoying flowers growing in backyard garden,positive,happiness,curiosity
Portrait of a senior man,Portrait of a senior man,negative,sad,none
Portrait of couple out front of new home,Portrait of couple out front of new home,positive,happiness,romance
"Young Girl Sits at a Table for Lunch With Her Father, Sticking Out Her Tongue in Disgust at the Food","Young Girl Sits at a Table for Lunch With Her Father, Sticking Out Her Tongue in Disgust at the Food",negative,disgust,none
They share a sense of humor!,An loving mature man embracing his wife with a smile,positive,happiness,romance
Young beautiful girl is shopping in the Mall,Young beautiful girl is shopping in the Mall,positive,happiness,none
"Fit grandmother and granddaughter walking at the river with arms around, having fun","Fit grandmother and granddaughter walking at the river with arms around, having fun",neutral,neutral,none
Affectionate mature woman embracing pet dog in nature,Happy senior woman enjoying walk in nature and embracing pet dog in forest park,positive,happiness,none
Woman suffering from depression,Young woman suffering from headache,negative,sad,tranquility
Smiling young woman in a fashion factory,Smiling young woman working in a fashion factory,positive,happiness,none
Success can only hatch through a committed team,Shot of a group of businesspeople having a meeting in an office,positive,happiness,social-contact
"Young Asian woman feeling sick and suffering from a headache, lying on the bed and taking a rest at home","Young Asian woman feeling sick and suffering from a headache, lying on the bed and taking a rest at home",negative,sad,tranquility
Cute child is feeding his goldfish,Cute child is feeding his goldfish,positive,happiness,curiosity
Boy frowning at vegetables,Boy frowning at vegetables,negative,disgust,none
Couple relaxing,"Couple relaxing together on vacation in chaise lounge chairs at lanikai beach in kailua, Oahu, Hawaii.",neutral,neutral,none
Their dynamic approach is what distinguishes them from the rest,Shot of a group of designers having a discussion in an office,positive,happiness,social-contact
Woman looking out of kitchen window,Woman looking out of kitchen window,negative,fear,curiosity
Living to the fullest,"Active and happy senior man living to the fullest, surfing on a surfboard during his summer vacation",positive,happiness,none
Young woman sitting on the floor at home with drink and cell phone,Young woman sitting on the floor at home with drink and cell phone,neutral,neutral,none
Girl refusing to eat vegetables,Child does not like the vegetables that her sister offers her,negative,disgust,none
Girl peeking through open door,Girl peeking through open door,negative,fear,curiosity
Focus medical students take notes during lecture,Diverse male and female young medical students confidently take notes during their professor's lecture.They are wearing scrubs.,neutral,neutral,none
Content mature couple relaxing together at open terrace door,Content mature couple relaxing together at open terrace door,positive,happiness,romance
Man with a bunch of carnations in his mouth,"Pink carnations, pink chequered shirt, fashion, black curly hair, beard, beige background, studio lit, big man",negative,sad,romance
Girl measuring brothers height,Girl measuring brothers height,positive,happiness,curiosity
Running together,Cute little boy and his dog walking in nature on sunny summer day,neutral,neutral,none
Senior woman has a look of extreme fear,Eighty four year old woman looks frightened on a freight elevator.,negative,fear,tranquility
Bound and gagged in the boot,Gangster stuffing a bound and gagged businessman into the boot of his car,negative,anger,vengeance
Cheerful couple embracing in park,Cheerful mid adult couple embracing in park,positive,happiness,romance
Woman with face mask walking with her dog near a home during coronavirus,Woman with face mask walking with her dog near a home during coronavirus,neutral,neutral,none
Cute boy getting scared of young goat while sitting in park,Cute boy getting scared of young goat while sitting in park,negative,fear,tranquility
Boy playing with bubble wrap at home,California,positive,happiness,curiosity
Angry woman swearing,Rage filled woman mouthing the 'F' word,negative,anger,none
Afraid girl laying in bed with teddy bear,Afraid girl laying in bed with teddy bear,negative,fear,none
Stinky socks,Woman holding one stinky sock.,negative,disgust,none
Looking at the pond life,Little boy and girl looking into their fishing net at the wildlife they have found.,positive,happiness,curiosity
Mature Adult Female and Senior Adult Female Wearing Face Masks and Demonstrating Social Distancing Due to Infectious Virus Outbreak Pandemic,In Western Colorado Mature Adult Female and elderly senior adult female Wearing Face Masks and Demonstrating Social Distancing Due to Infectious Virus Outbreak Pandemic Series,neutral,neutral,none
Just wanna celebrate life,Cropped shot of an attractive young woman standing with her arms outstretched against a blue background,positive,happiness,none
Mother Applying Bandage to Sons Knee,Mother Applying Bandage to Sons Knee,neutral,neutral,family
Angry african american teenage girl,Angryl african american teenage girl with afro hair.,negative,anger,none
Relationship problems. Young couple,Every relationship has it's ups and downs,negative,sad,romance
Senior woman playing hopscotch while husband watching her,Senior woman playing hopscotch while husband watching her,positive,happiness,romance
Little girl making a face,Yikes!,negative,fear,none
Mid adult woman passes senior woman during power walk,Cheerful mid adult woman passes a senior woman on a footpath at the park during a power walk.,neutral,neutral,none
Confident female warehouse worker,Portrait of a female factory employee with a digital tablet looking at camera and smiling. Woman warehouse worker with people in background.,positive,happiness,none
Young couple reading newspaper on bed,Young couple reading newspaper on bed,neutral,neutral,none
Dangerous behaviour,Young beautiful teenager looking at a plate of cereal with an attitude of dislike,negative,disgust,none
Young schoolboy studies DNA model,African American elementary schoolboy studies a DNA helix model. He is concentrating while looking at the model.,positive,happiness,curiosity
Portrait of young girl with raised finger,Upper torso portrait of serious young girl raising her index finger in anger,negative,anger,none
Surprised afro american young businessman,Studio portrait of surprised afro american young man in business suit and nerd glasses looking up with mouth open on white background.,positive,happiness,none
Sisters enjoying on inflatable ring at park,Smiling sisters relaxing on yellow inflatable ring at water park. They are floating in swimming pol. They are enjoying summer vacation.,positive,happiness,none
Mother and son examining grass in park,Mother and son examining grass in park,positive,happiness,curiosity
Sad senior woman sitting on sofa,Sad senior woman sitting on sofa,negative,sad,none
Young girl looking out of window on a rainy day,Young girl looking out of window on a rainy day,negative,sad,none
Zombie in haunted house standing over victims with axe,"Scary scene in a Halloween haunted house: a zombie standing over two victims with an axe. The young couple is sitting on the floor, arms raised to shield their bodies.",negative,fear,tranquility
Driving through Berlin,Young commuter woman driving in Berlin Mitte.,positive,happiness,none
Suspicious nervous young woman peeps through venetian blinds,Nervous-looking young woman peers suspiciously out through the slats of a venetian blind.,negative,fear,curiosity
Child's arm resting over father's head,Child's arm resting over father's head,neutral,neutral,family
Hispanic girl standing on father's toes,Hispanic girl standing on father's toes,neutral,neutral,family
Young businesswoman typing an e-mail on laptop at home office.,Young beautiful businesswoman working on her computer in the office. The view is through glass.,neutral,neutral,none
Black woman jogging on road,Black woman jogging on road,neutral,neutral,none
Couple having coffee together in living room,Cheerful couple sitting on sofa in living room having coffee and talking,positive,happiness,romance
"Happy woman having fun at the beach, dancing in the sand","Happy woman having fun at the beach, dancing in the sand",positive,happiness,none
High angle view of man wearing sleep mask while sleeping on bed at home,"Canada, Ontario, Toronto",neutral,neutral,none
Dangerous Drive,Dangerous Drive,negative,fear,tranquility
Loving Mature Couple Hiking At Oregon Coast,"Senior couple explores a beach in Oregon state, enjoying the beauty of sunset on the Pacific Northwest coast. They hike up a sand dune, the ocean visible in the background.",neutral,neutral,none
"Woman standing behind couple hugging, b&w","Woman standing behind couple hugging, b&w",negative,sad,romance
Young girl screaming,Profile of a young woman wearing a white t-shirt shouting in an exaggerated manner.,negative,anger,none
Melancholy woman at home celebrating her birthday all alone,Melancholy woman at home celebrating her birthday all alone,negative,sad,tranquility
We tied the knot!,Shot of a happy middle aged couple taking a selfie and showing off their wedding rings at home,positive,happiness,romance
"Young man using laptop, laughing happly","Young man using laptop, laughing happly",positive,happiness,none
Young couple having fun at home,Young couple having fun at home,negative,sad,none
Domestic violence,Domestic violence,negative,fear,tranquility
"Spain, Barcelona, Red-haired girl playing the guitar in the city","Spain, Barcelona, Red-haired girl playing the guitar in the city",positive,happiness,none
Businessman drinking coffee and reading newspaper at cafe,Mature businessman reading paper while having coffee at a coffee shop. Man in business suit drinking coffee and reading newspaper at cafe.,neutral,neutral,none
Quality time of family South east Asian family father teaching cute daughter play toys at home together,Quality time of family South east Asian family father teaching cute daughter play toys at home together,positive,happiness,curiosity
Two female friends with surfboards,Surfing is a way of living in Australia and young and mature sporty women go surfing every morning.,positive,happiness,social-contact
Shy mixed race boy hiding,Shy mixed race boy hiding,negative,fear,curiosity
Father and daughter crossing rock field during hike in mountains,Father and daughter crossing rock field during hike in mountains,neutral,neutral,family
Being made to feel like an outcast,Young boy being bullied at school,negative,fear,tranquility
Vaccination to a child,Little boy getting vaccinated for COVID-19 at the Pediatrician's office stock,negative,fear,none
"Group of men wearing blue shirts, power walking","Group of multiracial men walking, marching or power walking on a pedestrian walkway, all in the same direction. They are in pairs, talking, or walking alone, all wearing blue shirts, so they are part of a team.",neutral,neutral,none
Portrait of a young woman in a Parisian apartment,Portrait of a young woman in a Parisian apartment,positive,happiness,none
Family lying in the grass,Family lying in the grass,neutral,neutral,family
Outdoor fitness activities in the city - Chicago - USA,"Plus size women jogging and exercising at the park and walking outdoor in the city streets in Chicago, United States - USA. Weight loss concept",neutral,neutral,none
"Solitary walker in Monmartre, the artists quarter of Paris, circa 1910...","Solitary walker in Monmartre, the artists quarter of Paris, circa 1910.",negative,sad,tranquility
Playing with my dad outside,"Young father spending some quality outdoors time with his little boy, playing with an airplane model",neutral,neutral,family
Girl driving car,Girl driving car,negative,fear,tranquility
Man Walking Dogs in City Outdoors Summer,"This is a horizontal, color, royalty free stock photograph of a white Mexican man who is a professional dog walker in New York City. He walks and spends time with pet dogs, man's best friend outdoors in urban Manhattan on a summer day. Photographed with a Nikon D800 DSLR camera.",neutral,neutral,none
"Office worker working late, throwing paper in the air","Office worker working late, throwing paper in the air",negative,anger,none
Furious businesswoman shouting at work,"Furious businesswoman shouting at work, hands raised.",negative,anger,none
Body positive woman exercising in nature,Brazilian woman body positive exercising in nature.,neutral,neutral,none
Little girl holding bird on palm in forest,Little girl holding bird on palm in forest,positive,happiness,curiosity
Full length of elderly man holding shopping bag walking with dog on road during autumn,Full length of elderly man holding shopping bag walking with dog on road during autumn,neutral,neutral,none
Man at home singing into microphone attached to a selfie stick,Man at home singing into microphone attached to a selfie stick,positive,happiness,none
Portrait of laughing woman wearing glasses in front of blue background,Portrait of laughing woman wearing glasses in front of blue background,positive,happiness,none
What's your family's story?,Shot of an adorable baby girl reading a book with her parents at home,positive,happiness,family
This Headache!,Distraught Senior Man Suffering From a Migraine While Sitting on the sofa in the Living Room,negative,sad,tranquility
Father teaching young son to play drums,Father teaching young son to play drums,neutral,neutral,family
Warrior,Warrior,negative,anger,vengeance
Young woman with closed eyes sitting on terrace at home with laptop,Young woman with closed eyes sitting on terrace at home with laptop,positive,happiness,none
Close-up of smiling woman with man,Photo of smiling woman with man. Focus is on confident female. They are wearing casuals.,neutral,neutral,none
Smiling mature woman window shopping with teenage daughter during holidays,Smiling mature woman window shopping with teenage daughter during holidays,neutral,neutral,family
Sad girl sitting thoughtfully at the street,Depressed teenage girl outside,negative,sad,tranquility
Young woman relaxing with hands in the air by the pier and enjoying the beautiful sunset and warmth of sunlight,Young woman relaxing with hands in the air by the pier and enjoying the beautiful sunset and warmth of sunlight,positive,happiness,none
Deep Sea Fishing,"Young man deep sea fishing in the pacific ocean off the west coast of British Columbia, Canada.",neutral,neutral,none
Fishing is always a way of relaxing,Shot of a family of four fishing together,neutral,neutral,family
Unhappy just married wife frowns at her husband taking a call while they are stil both dressed for a wedding occasion.,Unhappy just married wife frowns at her husband taking a call while they are stil both dressed for a wedding occasion.,negative,sad,romance
Little boy making funny face on zip line ropes course,Little boy in ropes course in adventure park. Sunny summer day. The boy is scared of heights and is making a funny face. Nikon D850,negative,fear,tranquility
Worried owner at his small business,Worried owner at his small business,negative,sad,none
What Distance did I do Today?,"Mixed-race mid-adult woman walking down steps outdoors, she is holding a water bottle and her smartphone, she is checking the time on her smartwatch.",neutral,neutral,none
Small siblings fighting over a remote control in the living room.,Angry little kids fighting over a remote control while watching TV on sofa at home.,negative,anger,vengeance
Smiling young couple using digital tablet at home,Smiling girlfriend and boyfriend using digital tablet. Young couple is surfing internet while sitting on sofa. They are wearing casuals at home.,positive,happiness,romance
Curious African American boy using magnifying glass to study ins,Curious little African American boy cleverly using a magnifying glass to investigate insect life,positive,happiness,curiosity
Fisherman with fresh fish on the fishing boat deck,Fisherman with fresh fish on the fishing boat deck,neutral,neutral,none
Law Student Standing at Entrance to University Building,Close-up of relaxed female law student in casual attire standing with book at entrance to university in Buenos Aires.,positive,happiness,none
Couple fighting,Couple fighting,negative,anger,vengeance
"Young couple in a fight, not talking to each other",Couple sitting on a park bench. Woman talking on phone and ignoring his angry boyfriend.,negative,sad,romance
Little boy enjoys a picture book during preschool,An attentive cheerful preschool age boy sits on the floor of his classroom during free play time and looks up. He is distracted from turning a page in a picture book.,positive,happiness,curiosity
Portrait of businesswoman in office,Portrait of businesswoman in office,negative,sad,none
Happy man looking away while walking at park,Happy man walking at park. Young male is in sportswear. He is looking away.,neutral,neutral,none
Sad female wiping her tears.,Brunette attractive woman sitting alone in the park and crying while other couple is sitting in the distance. Selective focus on the sad woman.,negative,sad,romance
Working and playing under one roof,Group of young people spending their time in common living room. Checking their gadgets to catch up with latest news or messages. They are friends who sharing living space.,positive,happiness,social-contact
Relaxing bath.,Closeup of attractive mid 20's woman taking a long bath in a bathtub. She's slowly scrubbing off with a bath sponge and not planning to get out some time soon.,neutral,neutral,none
New genration,Mother helps son how to use a lap top and internet,neutral,neutral,family
Hipster enjoying confetti,Hipster enjoying confetti,positive,happiness,none
Woman on woodland rope bridge,Woman on high ropes attached to safety harness,negative,fear,tranquility
Baby Boy Reacting To New Food,An adorable 8 month old baby boy reacting to the taste of green beans for the very first time.,negative,disgust,none
Young woman spending a relaxing day in her beautiful home,"Young american woman enjoy some time in her house in Los Angeles, California.",neutral,neutral,none
Group of friends having fun at a party,Group of friends having fun at a party,positive,happiness,social-contact
Furious young woman hitting with cushion her boyfriend who uses digital tablet,Jealous woman preparing to hit her boyfriend with a pillow because he is using digital tablet,negative,anger,vengeance
"Man frowns, worried, through slats of venetian blind","Man frowns, worried, through slats of venetian blind",negative,fear,curiosity
Handsome young man spending time with his dog,Handsome young man spending time with his dog walking outdoors in the city,neutral,neutral,none
Senior grand-mother and adult grand-daughter hugging.,"Women of all generations, shape and sizes partying, celebrating life and the birthday of one of them. They are family and friends from 20 to 75 year's old. Here mature grand-daughter hugging grandmother. Horizontal indoors waist up shot.",positive,happiness,family
Thoughtful woman next to cardboard boxes in office,Thoughtful woman next to cardboard boxes in office,negative,sad,none
Young man looking at her girlfriends messages.,Jealous man checking on his girlfriends phone behind her.,negative,sad,romance
Attractive caucasian two little girls with his parents at Christmas home.,"Happy family prepares to meet Christmas in beautiful decorated home with panoramic windows. Young parents with little daughters decorate their home. Copy space, bokeh. New Year concept.",neutral,neutral,family
Naughty and messy little boy,Portrait of a naughty and messy little boy. The boy looks angrily at the camera.,negative,anger,none
Female basketball team celebrating a victory,Multi-ethnic females celebrating a victory on basketball court. Women basketball team embracing each other and laughing after winning the match.,positive,happiness,social-contact
Happy boy at movie theater,Happy boy showing while watching movie at theater,positive,happiness,none
Woman writing in a journal,Woman writing in a journal,neutral,neutral,none
Little Girl Playing with Soap Bubbles,Little Girl Playing with Soap Bubbles,positive,happiness,curiosity
"Front view portrait of mature businesswoman sitting in office building, using laptop.",Content woman sitting by the staircase at work. Copy space.,neutral,neutral,none
Working their way through different solutions,Shot of colleagues having a brainstorming session with sticky notes at work,positive,happiness,social-contact
Portrait of woman outdoors,Young woman enjoying a warm summers evening,positive,happiness,none
Friends fishing,Friends fishing,neutral,neutral,none
Screaming Woman Pulling Hair,Screaming Woman Pulling Hair,negative,anger,none
Young Man Relaxing on Hammock,Young man having a snooze on a hammock.,neutral,neutral,none
Reading Boy,"Young boy likes to read. He is reading a picture book on the floor of his home, outside his couch fort made out of couch cushions.",positive,happiness,curiosity
Woman stretching,Woman stretching ham strings before a run,positive,happiness,none
Moments like these make me feel alive,Closeup shot of an attractive young woman enjoying nature,neutral,neutral,none
